,u,i,name,ts,label,cat,subcat,state,idx,cat_subcat
16578,1124,1727,Applebee's,2617,100.0,Restaurants,Casual Dining,Ohio,17082,Restaurants - Casual Dining
16579,1578,1755,Cook Out,2617,4.76,Restaurants,QSR,Kentucky,23183,Restaurants - QSR
16580,1569,1879,Sonic Drive-In,2617,5.7,Restaurants,QSR,California,23084,Restaurants - QSR
16581,606,1884,Taco Bell,2617,17.91,Restaurants,QSR,Pennsylvania,9500,Restaurants - QSR
16582,1248,1839,Panera Bread,2617,7.82,Restaurants,Fast Casual,Pennsylvania,18708,Restaurants - Fast Casual
16583,504,1872,ShopRite,2617,74.28,Grocers,Supermarkets,New Jersey,7876,Grocers - Supermarkets
16584,1246,1881,Sprouts Farmers Market,2617,46.45,Grocers,Supermarkets,Colorado,18698,Grocers - Supermarkets
16585,515,1907,Whole Foods Market,2617,9.0,Grocers,Supermarkets,Florida,8163,Grocers - Supermarkets
16586,337,1838,Panda Express,2617,9.0,Restaurants,Fast Casual,Maryland,5232,Restaurants - Fast Casual
16587,316,1766,DoorDash,2617,100.94,Restaurants,Delivery Aggregators,Ohio,4948,Restaurants - Delivery Aggregators
16588,521,1846,Pizza Hut,2617,65.0,Restaurants,QSR,Oregon,8230,Restaurants - QSR
16589,561,1718,&pizza,2617,10.87,Restaurants,Fast Casual,Virginia,8754,Restaurants - Fast Casual
16590,1602,1731,Auntie Anne's,2617,10.04,Restaurants,QSR,Texas,23579,Restaurants - QSR
16591,181,1812,Lidl,2617,13.8,Grocers,Discount Grocers,Virginia,2750,Grocers - Discount Grocers
16592,837,1879,Sonic Drive-In,2617,7.21,Restaurants,QSR,Virginia,12873,Restaurants - QSR
16593,160,1903,Waffle House,2617,16.23,Restaurants,Casual Dining,Kentucky,2481,Restaurants - Casual Dining
16594,1513,1840,Papa John's,2617,33.3,Restaurants,QSR,South Carolina,22273,Restaurants - QSR
16595,1181,1836,Olive Garden,2617,19.36,Restaurants,Casual Dining,South Carolina,17780,Restaurants - Casual Dining
16596,974,1907,Whole Foods Market,2617,123.96,Grocers,Supermarkets,Pennsylvania,14890,Grocers - Supermarkets
16597,577,1884,Taco Bell,2617,7.88,Restaurants,QSR,Illinois,9108,Restaurants - QSR
16598,816,1840,Papa John's,2617,22.73,Restaurants,QSR,Texas,12577,Restaurants - QSR
16599,563,1894,Trader Joe's,2617,19.88,Grocers,Supermarkets,New York,8885,Grocers - Supermarkets
16600,135,1912,Zips Car Wash,2617,8.0,Autos,Auto Parts & Services,Oklahoma,2098,Autos - Auto Parts & Services
16601,1097,1879,Sonic Drive-In,2617,19.56,Restaurants,QSR,Utah,16734,Restaurants - QSR
16602,572,1884,Taco Bell,2617,6.34,Restaurants,QSR,Kentucky,9034,Restaurants - QSR
16603,1208,1839,Panera Bread,2617,8.47,Restaurants,Fast Casual,Maryland,18177,Restaurants - Fast Casual
16604,1491,1846,Pizza Hut,2617,30.58,Restaurants,QSR,Georgia,21960,Restaurants - QSR
16605,446,1831,Mister Car Wash,2617,31.64,Autos,Auto Parts & Services,North Carolina,6877,Autos - Auto Parts & Services
16606,1035,1901,Vons,2617,38.88,Grocers,Supermarkets,California,15883,Grocers - Supermarkets
16607,1461,1839,Panera Bread,2617,13.29,Restaurants,Fast Casual,District of Columbia,21618,Restaurants - Fast Casual
16608,381,1876,Smashburger,2617,12.71,Restaurants,Fast Casual,Ohio,5783,Restaurants - Fast Casual
16609,60,1901,Vons,2617,9.48,Grocers,Supermarkets,California,748,Grocers - Supermarkets
16610,1594,1884,Taco Bell,2617,21.26,Restaurants,QSR,Georgia,23495,Restaurants - QSR
16611,10,1760,Dairy Queen,2617,14.08,Restaurants,QSR,Arkansas,113,Restaurants - QSR
16612,526,1884,Taco Bell,2617,8.12,Restaurants,QSR,Indiana,8316,Restaurants - QSR
16613,596,1879,Sonic Drive-In,2617,19.27,Restaurants,QSR,North Carolina,9387,Restaurants - QSR
16614,74,1731,Auntie Anne's,2617,4.68,Restaurants,QSR,New Jersey,987,Restaurants - QSR
16615,790,1733,AutoZone,2617,9.49,Autos,Auto Parts & Services,Pennsylvania,12254,Autos - Auto Parts & Services
16616,546,1838,Panda Express,2617,11.74,Restaurants,Fast Casual,Virginia,8494,Restaurants - Fast Casual
16617,856,1766,DoorDash,2617,45.2,Restaurants,Delivery Aggregators,North Carolina,13106,Restaurants - Delivery Aggregators
16618,553,1733,AutoZone,2617,57.23,Autos,Auto Parts & Services,Michigan,8601,Autos - Auto Parts & Services
16619,553,1895,Tropical Smoothie,2617,12.35,Restaurants,QSR,Michigan,8609,Restaurants - QSR
16620,133,1749,Chili's,2617,12.81,Restaurants,Casual Dining,Indiana,2005,Restaurants - Casual Dining
16621,841,1884,Taco Bell,2617,15.85,Restaurants,QSR,Indiana,12918,Restaurants - QSR
16622,1457,1833,NAPA Auto Parts,2617,5.57,Autos,Auto Parts & Services,Virginia,21588,Autos - Auto Parts & Services
16623,139,1724,Albertsons,2617,5.48,Grocers,Supermarkets,California,2140,Grocers - Supermarkets
16624,1516,1907,Whole Foods Market,2617,133.97,Grocers,Supermarkets,California,22448,Grocers - Supermarkets
16625,1018,1884,Taco Bell,2617,7.5,Restaurants,QSR,Pennsylvania,15552,Restaurants - QSR
16626,1288,1831,Mister Car Wash,2617,14.0,Autos,Auto Parts & Services,Colorado,19317,Autos - Auto Parts & Services
16627,625,1894,Trader Joe's,2617,13.86,Grocers,Supermarkets,California,9752,Grocers - Supermarkets
16628,271,1903,Waffle House,2617,15.44,Restaurants,Casual Dining,North Carolina,4260,Restaurants - Casual Dining
16629,1370,1884,Taco Bell,2617,5.18,Restaurants,QSR,Ohio,20563,Restaurants - QSR
16630,628,1729,Au Bon Pain,2617,1.61,Restaurants,QSR,Delaware,9820,Restaurants - QSR
16631,96,1886,Texas Roadhouse,2617,100.56,Restaurants,Casual Dining,Maryland,1335,Restaurants - Casual Dining
16632,95,1838,Panda Express,2617,9.59,Restaurants,Fast Casual,Virginia,1265,Restaurants - Fast Casual
16633,1412,1839,Panera Bread,2617,10.58,Restaurants,Fast Casual,Pennsylvania,21084,Restaurants - Fast Casual
16634,1283,1836,Olive Garden,2617,21.94,Restaurants,Casual Dining,Minnesota,19248,Restaurants - Casual Dining
16635,282,1839,Panera Bread,2617,1.86,Restaurants,Fast Casual,Indiana,4419,Restaurants - Fast Casual
