,u,i,name,ts,label,cat,subcat,state,idx,cat_subcat
0,1350,1733,AutoZone,2400,19.47,Autos,Auto Parts & Services,Texas,20239,Autos - Auto Parts & Services
1,956,1839,Panera Bread,2400,12.28,Restaurants,Fast Casual,Oregon,14664,Restaurants - Fast Casual
2,1689,1879,Sonic Drive-In,2400,16.76,Restaurants,QSR,Alabama,24492,Restaurants - QSR
3,1114,1884,Taco Bell,2400,7.86,Restaurants,QSR,California,16996,Restaurants - QSR
4,515,1802,Joe's Crab Shack,2400,42.54,Restaurants,Casual Dining,Florida,8091,Restaurants - Casual Dining
5,54,1884,Taco Bell,2400,9.41,Restaurants,QSR,Kentucky,674,Restaurants - QSR
6,1310,1879,Sonic Drive-In,2400,26.59,Restaurants,QSR,Texas,19756,Restaurants - QSR
7,1143,1878,Smoothie King,2400,10.01,Restaurants,QSR,Texas,17360,Restaurants - QSR
8,822,1846,Pizza Hut,2400,26.22,Restaurants,QSR,Missouri,12648,Restaurants - QSR
9,675,1884,Taco Bell,2400,10.35,Restaurants,QSR,Pennsylvania,10685,Restaurants - QSR
10,1560,1839,Panera Bread,2400,14.28,Restaurants,Fast Casual,Michigan,22917,Restaurants - Fast Casual
11,41,1800,Ingles Markets,2400,20.0,Grocers,Supermarkets,South Carolina,547,Grocers - Supermarkets
12,233,1884,Taco Bell,2400,7.45,Restaurants,QSR,North Carolina,3531,Restaurants - QSR
13,822,1839,Panera Bread,2400,15.48,Restaurants,Fast Casual,Missouri,12647,Restaurants - Fast Casual
14,1024,1729,Au Bon Pain,2400,8.61,Restaurants,QSR,Arizona,15655,Restaurants - QSR
15,649,1733,AutoZone,2400,54.1,Autos,Auto Parts & Services,Texas,10210,Autos - Auto Parts & Services
16,23,1879,Sonic Drive-In,2400,15.13,Restaurants,QSR,Maryland,299,Restaurants - QSR
17,1390,1733,AutoZone,2400,-31.86,Autos,Auto Parts & Services,New Mexico,20787,Autos - Auto Parts & Services
18,1347,1907,Whole Foods Market,2400,25.76,Grocers,Supermarkets,New York,20189,Grocers - Supermarkets
19,489,1733,AutoZone,2400,7.48,Autos,Auto Parts & Services,New Jersey,7447,Autos - Auto Parts & Services
20,1027,1733,AutoZone,2400,7.61,Autos,Auto Parts & Services,Georgia,15689,Autos - Auto Parts & Services
21,1004,1883,TGI Fridays,2400,80.66,Restaurants,Casual Dining,West Virginia,15380,Restaurants - Casual Dining
22,133,1838,Panda Express,2400,7.41,Restaurants,Fast Casual,Indiana,2010,Restaurants - Fast Casual
23,944,1721,AAA,2400,119.0,Autos,Auto Parts & Services,California,14250,Autos - Auto Parts & Services
24,1347,1803,Juice Generation,2400,9.2,Restaurants,QSR,New York,20161,Restaurants - QSR
25,41,1903,Waffle House,2400,27.5,Restaurants,Casual Dining,South Carolina,573,Restaurants - Casual Dining
26,880,1863,Rosa's Cafe,2400,8.42,Restaurants,Fast Casual,Louisiana,13336,Restaurants - Fast Casual
27,300,1886,Texas Roadhouse,2400,110.0,Restaurants,Casual Dining,Arizona,4674,Restaurants - Casual Dining
28,1704,1846,Pizza Hut,2400,21.9,Restaurants,QSR,Washington,24775,Restaurants - QSR
29,1109,1787,Fry's,2400,147.82,Grocers,Supermarkets,Texas,16889,Grocers - Supermarkets
30,1180,1787,Fry's,2400,122.82,Grocers,Supermarkets,Arizona,17757,Grocers - Supermarkets
31,1071,1838,Panda Express,2400,8.07,Restaurants,Fast Casual,Georgia,16411,Restaurants - Fast Casual
32,47,1872,ShopRite,2400,6.99,Grocers,Supermarkets,Pennsylvania,601,Grocers - Supermarkets
33,243,1789,Golden Chick,2400,11.2,Restaurants,QSR,South Carolina,3645,Restaurants - QSR
34,990,1912,Zips Car Wash,2400,21.95,Autos,Auto Parts & Services,Texas,15146,Autos - Auto Parts & Services
35,129,1884,Taco Bell,2400,12.57,Restaurants,QSR,Ohio,1931,Restaurants - QSR
36,1049,1884,Taco Bell,2400,19.23,Restaurants,QSR,Arizona,16041,Restaurants - QSR
37,1308,1837,Outback Steakhouse,2400,33.66,Restaurants,Casual Dining,Pennsylvania,19674,Restaurants - Casual Dining
38,1072,1879,Sonic Drive-In,2400,7.05,Restaurants,QSR,Illinois,16426,Restaurants - QSR
39,1542,1884,Taco Bell,2400,14.46,Restaurants,QSR,Oklahoma,22719,Restaurants - QSR
40,561,1907,Whole Foods Market,2400,17.4,Grocers,Supermarkets,Virginia,8848,Grocers - Supermarkets
41,880,1839,Panera Bread,2400,30.42,Restaurants,Fast Casual,Louisiana,13330,Restaurants - Fast Casual
42,54,1906,White Castle,2400,8.94,Restaurants,QSR,Kentucky,683,Restaurants - QSR
43,291,1731,Auntie Anne's,2400,12.56,Restaurants,QSR,Illinois,4591,Restaurants - QSR
44,1053,1839,Panera Bread,2400,19.9,Restaurants,Fast Casual,Ohio,16143,Restaurants - Fast Casual
45,82,1894,Trader Joe's,2401,33.92,Grocers,Supermarkets,Texas,1077,Grocers - Supermarkets
46,933,1906,White Castle,2401,9.01,Restaurants,QSR,Illinois,14175,Restaurants - QSR
47,1347,1907,Whole Foods Market,2401,50.45,Grocers,Supermarkets,New York,20190,Grocers - Supermarkets
48,1095,1839,Panera Bread,2401,9.07,Restaurants,Fast Casual,New Jersey,16723,Restaurants - Fast Casual
49,1200,1839,Panera Bread,2401,11.87,Restaurants,Fast Casual,Ohio,17978,Restaurants - Fast Casual
50,44,1879,Sonic Drive-In,2401,19.58,Restaurants,QSR,Maryland,586,Restaurants - QSR
51,999,1884,Taco Bell,2401,8.12,Restaurants,QSR,South Carolina,15311,Restaurants - QSR
52,1071,1884,Taco Bell,2401,13.9,Restaurants,QSR,Georgia,16418,Restaurants - QSR
53,1071,1879,Sonic Drive-In,2401,6.2,Restaurants,QSR,Georgia,16416,Restaurants - QSR
54,1019,1854,Quaker Steak & Lube,2401,36.21,Restaurants,Casual Dining,Pennsylvania,15589,Restaurants - Casual Dining
55,254,1724,Albertsons,2401,17.59,Grocers,Supermarkets,Florida,4005,Grocers - Supermarkets
56,1027,1733,AutoZone,2401,4.76,Autos,Auto Parts & Services,Georgia,15690,Autos - Auto Parts & Services
57,483,1879,Sonic Drive-In,2401,8.15,Restaurants,QSR,Alabama,7378,Restaurants - QSR
58,1109,1787,Fry's,2401,22.2,Grocers,Supermarkets,Texas,16890,Grocers - Supermarkets
59,1466,1846,Pizza Hut,2401,9.9,Restaurants,QSR,Oklahoma,21686,Restaurants - QSR
60,282,1733,AutoZone,2401,16.55,Autos,Auto Parts & Services,Indiana,4407,Autos - Auto Parts & Services
61,1347,1851,Pret A Manger,2401,6.52,Restaurants,Fast Casual,New York,20169,Restaurants - Fast Casual
62,25,1843,Pei Wei,2401,34.07,Restaurants,Casual Dining,Nevada,328,Restaurants - Casual Dining
63,1429,1884,Taco Bell,2401,6.47,Restaurants,QSR,Texas,21384,Restaurants - QSR
64,225,1839,Panera Bread,2401,5.48,Restaurants,Fast Casual,Illinois,3444,Restaurants - Fast Casual
65,1200,1733,AutoZone,2401,40.54,Autos,Auto Parts & Services,Ohio,17972,Autos - Auto Parts & Services
66,1155,1733,AutoZone,2401,6.42,Autos,Auto Parts & Services,Ohio,17523,Autos - Auto Parts & Services
67,493,1727,Applebee's,2401,27.35,Restaurants,Casual Dining,Kentucky,7662,Restaurants - Casual Dining
68,409,1876,Smashburger,2401,12.51,Restaurants,Fast Casual,Texas,6325,Restaurants - Fast Casual
69,1695,1894,Trader Joe's,2401,39.47,Grocers,Supermarkets,Texas,24622,Grocers - Supermarkets
70,960,1903,Waffle House,2401,18.87,Restaurants,Casual Dining,Michigan,14733,Restaurants - Casual Dining
71,731,1731,Auntie Anne's,2401,3.34,Restaurants,QSR,Virginia,11408,Restaurants - QSR
72,1412,1883,TGI Fridays,2401,18.25,Restaurants,Casual Dining,Pennsylvania,21091,Restaurants - Casual Dining
73,1510,1907,Whole Foods Market,2401,7.4,Grocers,Supermarkets,Texas,22232,Grocers - Supermarkets
74,453,1727,Applebee's,2401,47.67,Restaurants,Casual Dining,Indiana,6992,Restaurants - Casual Dining
75,718,1733,AutoZone,2401,55.620000000000005,Autos,Auto Parts & Services,Pennsylvania,11141,Autos - Auto Parts & Services
76,1359,1907,Whole Foods Market,2401,5.29,Grocers,Supermarkets,Georgia,20453,Grocers - Supermarkets
77,74,1839,Panera Bread,2401,7.25,Restaurants,Fast Casual,New Jersey,990,Restaurants - Fast Casual
78,661,1905,Which Wich,2401,14.7,Restaurants,Fast Casual,Minnesota,10405,Restaurants - Fast Casual
79,1035,1901,Vons,2401,9.97,Grocers,Supermarkets,California,15860,Grocers - Supermarkets
80,1622,1760,Dairy Queen,2401,13.76,Restaurants,QSR,Pennsylvania,23758,Restaurants - QSR
81,106,1884,Taco Bell,2401,1.58,Restaurants,QSR,Washington,1471,Restaurants - QSR
82,564,1879,Sonic Drive-In,2401,29.65,Restaurants,QSR,Washington,8919,Restaurants - QSR
83,1310,1846,Pizza Hut,2401,20.03,Restaurants,QSR,Texas,19752,Restaurants - QSR
84,1019,1799,Houlihan's,2401,4.19,Restaurants,Casual Dining,Pennsylvania,15579,Restaurants - Casual Dining
85,914,1884,Taco Bell,2401,10.38,Restaurants,QSR,Maryland,13933,Restaurants - QSR
86,708,1760,Dairy Queen,2401,8.66,Restaurants,QSR,Pennsylvania,11068,Restaurants - QSR
87,853,1839,Panera Bread,2401,4.24,Restaurants,Fast Casual,Indiana,13015,Restaurants - Fast Casual
88,1500,1733,AutoZone,2401,21.39,Autos,Auto Parts & Services,Indiana,22023,Autos - Auto Parts & Services
89,999,1840,Papa John's,2401,21.79,Restaurants,QSR,South Carolina,15308,Restaurants - QSR
90,675,1731,Auntie Anne's,2401,3.63,Restaurants,QSR,Pennsylvania,10671,Restaurants - QSR
91,1019,1884,Taco Bell,2401,6.29,Restaurants,QSR,Pennsylvania,15591,Restaurants - QSR
92,1493,1908,Woodman's Market,2401,23.19,Grocers,Supermarkets,Wisconsin,21970,Grocers - Supermarkets
93,1704,1724,Albertsons,2401,58.85,Grocers,Supermarkets,Washington,24727,Grocers - Supermarkets
94,927,1846,Pizza Hut,2401,15.34,Restaurants,QSR,Louisiana,14072,Restaurants - QSR
95,1558,1749,Chili's,2401,12.6,Restaurants,Casual Dining,Colorado,22900,Restaurants - Casual Dining
96,944,1857,Raley's,2402,20.18,Grocers,Supermarkets,California,14278,Grocers - Supermarkets
97,944,1844,Pep Boys,2402,29.51,Autos,Auto Parts & Services,California,14272,Autos - Auto Parts & Services
98,1391,1839,Panera Bread,2402,9.5,Restaurants,Fast Casual,Massachusetts,20854,Restaurants - Fast Casual
99,1145,1838,Panda Express,2402,14.75,Restaurants,Fast Casual,Missouri,17368,Restaurants - Fast Casual
100,218,1836,Olive Garden,2402,66.21,Restaurants,Casual Dining,Georgia,3332,Restaurants - Casual Dining
101,416,1843,Pei Wei,2402,34.48,Restaurants,Casual Dining,Texas,6408,Restaurants - Casual Dining
102,449,1883,TGI Fridays,2402,9.0,Restaurants,Casual Dining,Pennsylvania,6963,Restaurants - Casual Dining
103,455,1884,Taco Bell,2402,8.83,Restaurants,QSR,South Carolina,7064,Restaurants - QSR
104,648,1727,Applebee's,2402,20.0,Restaurants,Casual Dining,Ohio,10163,Restaurants - Casual Dining
105,1210,1878,Smoothie King,2402,5.58,Restaurants,QSR,Florida,18201,Restaurants - QSR
106,832,1733,AutoZone,2402,14.97,Autos,Auto Parts & Services,Pennsylvania,12750,Autos - Auto Parts & Services
107,674,1884,Taco Bell,2402,12.73,Restaurants,QSR,Georgia,10662,Restaurants - QSR
108,1152,1908,Woodman's Market,2402,77.93,Grocers,Supermarkets,Wisconsin,17493,Grocers - Supermarkets
109,1039,1839,Panera Bread,2402,42.69,Restaurants,Fast Casual,Maryland,15941,Restaurants - Fast Casual
110,246,1787,Fry's,2402,179.21,Grocers,Supermarkets,Georgia,3739,Grocers - Supermarkets
111,1508,1796,Harley-Davidson,2402,147.79,Autos,Auto Sales,Florida,22223,Autos - Auto Sales
112,897,1838,Panda Express,2402,29.0,Restaurants,Fast Casual,Delaware,13639,Restaurants - Fast Casual
113,515,1884,Taco Bell,2402,5.71,Restaurants,QSR,Florida,8114,Restaurants - QSR
114,307,1886,Texas Roadhouse,2402,57.67,Restaurants,Casual Dining,Illinois,4759,Restaurants - Casual Dining
115,1706,1727,Applebee's,2402,14.37,Restaurants,Casual Dining,Maryland,24827,Restaurants - Casual Dining
116,1310,1733,AutoZone,2402,40.56,Autos,Auto Parts & Services,Texas,19696,Autos - Auto Parts & Services
117,286,1823,Marcus Theaters,2402,54.41,Events & Attractions,Movie Theaters,Louisiana,4448,Events & Attractions - Movie Theaters
118,718,1733,AutoZone,2402,15.07,Autos,Auto Parts & Services,Pennsylvania,11142,Autos - Auto Parts & Services
119,614,1907,Whole Foods Market,2402,10.8,Grocers,Supermarkets,Virginia,9567,Grocers - Supermarkets
120,396,1733,AutoZone,2402,9.73,Autos,Auto Parts & Services,Texas,6010,Autos - Auto Parts & Services
121,1180,1787,Fry's,2402,123.9,Grocers,Supermarkets,Arizona,17758,Grocers - Supermarkets
122,544,1721,AAA,2402,73.0,Autos,Auto Parts & Services,California,8472,Autos - Auto Parts & Services
123,697,1733,AutoZone,2402,6.41,Autos,Auto Parts & Services,Hawaii,10945,Autos - Auto Parts & Services
124,697,1903,Waffle House,2402,18.54,Restaurants,Casual Dining,Hawaii,10985,Restaurants - Casual Dining
125,1179,1777,Food 4 Less,2402,56.59,Grocers,Discount Grocers,Illinois,17754,Grocers - Discount Grocers
126,339,1839,Panera Bread,2402,15.11,Restaurants,Fast Casual,Texas,5247,Restaurants - Fast Casual
127,1501,1794,Grocery Outlet,2402,17.74,Grocers,Discount Grocers,California,22073,Grocers - Discount Grocers
128,1618,1884,Taco Bell,2402,17.77,Restaurants,QSR,Michigan,23718,Restaurants - QSR
129,1570,1846,Pizza Hut,2402,24.39,Restaurants,QSR,California,23092,Restaurants - QSR
130,254,1907,Whole Foods Market,2402,59.44,Grocers,Supermarkets,Florida,4015,Grocers - Supermarkets
131,967,1898,Universal Studios,2402,-295.16,Events & Attractions,Theme Parks,Florida,14827,Events & Attractions - Theme Parks
132,26,1894,Trader Joe's,2402,65.32,Grocers,Supermarkets,California,337,Grocers - Supermarkets
133,1127,1755,Cook Out,2402,7.23,Restaurants,QSR,Georgia,17125,Restaurants - QSR
134,430,1894,Trader Joe's,2402,144.55,Grocers,Supermarkets,North Carolina,6617,Grocers - Supermarkets
135,1653,1872,ShopRite,2402,16.57,Grocers,Supermarkets,New Jersey,24077,Grocers - Supermarkets
136,160,1903,Waffle House,2402,11.36,Restaurants,Casual Dining,Kentucky,2474,Restaurants - Casual Dining
137,775,1883,TGI Fridays,2402,26.97,Restaurants,Casual Dining,Alabama,12138,Restaurants - Casual Dining
138,1359,1876,Smashburger,2402,7.82,Restaurants,Fast Casual,Georgia,20452,Restaurants - Fast Casual
139,1201,1836,Olive Garden,2402,66.23,Restaurants,Casual Dining,Georgia,18000,Restaurants - Casual Dining
140,1188,1721,AAA,2402,115.0,Autos,Auto Parts & Services,Pennsylvania,17828,Autos - Auto Parts & Services
141,237,1749,Chili's,2402,26.59,Restaurants,Casual Dining,Texas,3546,Restaurants - Casual Dining
142,768,1840,Papa John's,2402,17.07,Restaurants,QSR,Kentucky,12013,Restaurants - QSR
143,1498,1721,AAA,2402,58.0,Autos,Auto Parts & Services,Ohio,21985,Autos - Auto Parts & Services
144,985,1760,Dairy Queen,2402,4.24,Restaurants,QSR,Florida,14974,Restaurants - QSR
145,637,1884,Taco Bell,2402,35.82,Restaurants,QSR,Kentucky,10001,Restaurants - QSR
146,344,1719,99 Ranch,2402,5.28,Grocers,Supermarkets,Pennsylvania,5349,Grocers - Supermarkets
147,442,1785,Friendly's,2403,12.68,Restaurants,QSR,Maine,6760,Restaurants - QSR
148,858,1884,Taco Bell,2403,6.28,Restaurants,QSR,North Carolina,13123,Restaurants - QSR
149,434,1731,Auntie Anne's,2403,4.48,Restaurants,QSR,Illinois,6690,Restaurants - QSR
150,1429,1884,Taco Bell,2403,7.56,Restaurants,QSR,Texas,21385,Restaurants - QSR
151,855,1839,Panera Bread,2403,17.54,Restaurants,Fast Casual,Michigan,13027,Restaurants - Fast Casual
152,246,1787,Fry's,2403,57.76,Grocers,Supermarkets,Georgia,3740,Grocers - Supermarkets
153,1422,1836,Olive Garden,2403,34.5,Restaurants,Casual Dining,Virginia,21242,Restaurants - Casual Dining
154,1177,1872,ShopRite,2403,35.07,Grocers,Supermarkets,New Jersey,17746,Grocers - Supermarkets
155,955,1836,Olive Garden,2403,14.36,Restaurants,Casual Dining,Texas,14621,Restaurants - Casual Dining
156,282,1727,Applebee's,2403,32.18,Restaurants,Casual Dining,Indiana,4406,Restaurants - Casual Dining
157,693,1733,AutoZone,2403,143.89,Autos,Auto Parts & Services,Pennsylvania,10904,Autos - Auto Parts & Services
158,1308,1840,Papa John's,2403,18.55,Restaurants,QSR,Pennsylvania,19676,Restaurants - QSR
159,1076,1837,Outback Steakhouse,2403,74.77,Restaurants,Casual Dining,Alabama,16478,Restaurants - Casual Dining
160,992,1762,Denny's,2403,32.0,Restaurants,Casual Dining,Pennsylvania,15234,Restaurants - Casual Dining
161,37,1838,Panda Express,2403,16.38,Restaurants,Fast Casual,Florida,454,Restaurants - Fast Casual
162,1063,1907,Whole Foods Market,2403,157.0,Grocers,Supermarkets,Arkansas,16298,Grocers - Supermarkets
163,515,1857,Raley's,2403,28.92,Grocers,Supermarkets,Florida,8109,Grocers - Supermarkets
164,759,1733,AutoZone,2403,36.19,Autos,Auto Parts & Services,Delaware,11905,Autos - Auto Parts & Services
165,1077,1905,Which Wich,2403,9.43,Restaurants,Fast Casual,North Carolina,16532,Restaurants - Fast Casual
166,1492,1839,Panera Bread,2403,10.93,Restaurants,Fast Casual,Illinois,21967,Restaurants - Fast Casual
167,652,1908,Woodman's Market,2403,244.04,Grocers,Supermarkets,Arizona,10273,Grocers - Supermarkets
168,556,1907,Whole Foods Market,2403,14.55,Grocers,Supermarkets,Illinois,8667,Grocers - Supermarkets
169,84,1721,AAA,2403,13.75,Autos,Auto Parts & Services,Montana,1080,Autos - Auto Parts & Services
170,1652,1886,Texas Roadhouse,2403,27.51,Restaurants,Casual Dining,Ohio,24073,Restaurants - Casual Dining
171,160,1833,NAPA Auto Parts,2403,25.42,Autos,Auto Parts & Services,Kentucky,2460,Autos - Auto Parts & Services
172,1215,1787,Fry's,2403,35.49,Grocers,Supermarkets,Arizona,18255,Grocers - Supermarkets
173,1109,1787,Fry's,2403,31.01,Grocers,Supermarkets,Texas,16891,Grocers - Supermarkets
174,128,1749,Chili's,2403,37.0,Restaurants,Casual Dining,Arizona,1897,Restaurants - Casual Dining
175,1062,1879,Sonic Drive-In,2403,6.59,Restaurants,QSR,Illinois,16279,Restaurants - QSR
176,960,1844,Pep Boys,2403,334.45,Autos,Auto Parts & Services,Michigan,14732,Autos - Auto Parts & Services
177,1114,1840,Papa John's,2403,32.14,Restaurants,QSR,California,16993,Restaurants - QSR
178,473,1907,Whole Foods Market,2403,45.73,Grocers,Supermarkets,Georgia,7215,Grocers - Supermarkets
179,472,1836,Olive Garden,2403,29.63,Restaurants,Casual Dining,New Jersey,7210,Restaurants - Casual Dining
180,490,1907,Whole Foods Market,2403,27.07,Grocers,Supermarkets,Virginia,7571,Grocers - Supermarkets
181,26,1894,Trader Joe's,2403,48.45,Grocers,Supermarkets,California,338,Grocers - Supermarkets
182,832,1846,Pizza Hut,2403,37.69,Restaurants,QSR,Pennsylvania,12783,Restaurants - QSR
183,97,1884,Taco Bell,2403,6.78,Restaurants,QSR,Florida,1343,Restaurants - QSR
184,1361,1846,Pizza Hut,2403,5.0,Restaurants,QSR,Ohio,20489,Restaurants - QSR
185,906,1884,Taco Bell,2403,7.98,Restaurants,QSR,California,13853,Restaurants - QSR
186,143,1839,Panera Bread,2403,18.38,Restaurants,Fast Casual,Michigan,2236,Restaurants - Fast Casual
187,404,1733,AutoZone,2403,11.9,Autos,Auto Parts & Services,Missouri,6253,Autos - Auto Parts & Services
188,1039,1733,AutoZone,2403,31.78,Autos,Auto Parts & Services,Maryland,15928,Autos - Auto Parts & Services
189,1151,1879,Sonic Drive-In,2403,8.4,Restaurants,QSR,Alabama,17471,Restaurants - QSR
190,887,1884,Taco Bell,2403,10.97,Restaurants,QSR,Florida,13460,Restaurants - QSR
191,13,1846,Pizza Hut,2403,28.13,Restaurants,QSR,Ohio,155,Restaurants - QSR
192,1563,1749,Chili's,2403,24.48,Restaurants,Casual Dining,Hawaii,22926,Restaurants - Casual Dining
193,944,1836,Olive Garden,2403,27.42,Restaurants,Casual Dining,California,14263,Restaurants - Casual Dining
194,1382,1760,Dairy Queen,2403,2.59,Restaurants,QSR,New Mexico,20657,Restaurants - QSR
195,218,1878,Smoothie King,2403,10.78,Restaurants,QSR,Georgia,3335,Restaurants - QSR
196,880,1863,Rosa's Cafe,2403,22.46,Restaurants,Fast Casual,Louisiana,13337,Restaurants - Fast Casual
197,944,1857,Raley's,2403,25.02,Grocers,Supermarkets,California,14279,Grocers - Supermarkets
198,871,1901,Vons,2403,8.97,Grocers,Supermarkets,Texas,13252,Grocers - Supermarkets
199,933,1883,TGI Fridays,2403,276.17,Restaurants,Casual Dining,Illinois,14173,Restaurants - Casual Dining
200,913,1733,AutoZone,2403,226.74,Autos,Auto Parts & Services,Louisiana,13921,Autos - Auto Parts & Services
201,1383,1884,Taco Bell,2403,10.68,Restaurants,QSR,Georgia,20694,Restaurants - QSR
202,106,1884,Taco Bell,2403,1.79,Restaurants,QSR,Washington,1472,Restaurants - QSR
203,1350,1733,AutoZone,2403,18.5,Autos,Auto Parts & Services,Texas,20240,Autos - Auto Parts & Services
204,1675,1789,Golden Chick,2403,7.57,Restaurants,QSR,Texas,24354,Restaurants - QSR
205,923,1903,Waffle House,2403,11.92,Restaurants,Casual Dining,North Carolina,14037,Restaurants - Casual Dining
206,1388,1884,Taco Bell,2403,5.3,Restaurants,QSR,California,20759,Restaurants - QSR
207,320,1787,Fry's,2404,92.48,Grocers,Supermarkets,Arizona,5035,Grocers - Supermarkets
208,1213,1907,Whole Foods Market,2404,11.23,Grocers,Supermarkets,Ohio,18246,Grocers - Supermarkets
209,987,1755,Cook Out,2404,8.58,Restaurants,QSR,Tennessee,14988,Restaurants - QSR
210,966,1770,Eventbrite,2404,32.49,Events & Attractions,Booking Platforms,Pennsylvania,14780,Events & Attractions - Booking Platforms
211,23,1837,Outback Steakhouse,2404,17.99,Restaurants,Casual Dining,Maryland,297,Restaurants - Casual Dining
212,34,1881,Sprouts Farmers Market,2404,26.54,Grocers,Supermarkets,Colorado,428,Grocers - Supermarkets
213,220,1886,Texas Roadhouse,2404,68.31,Restaurants,Casual Dining,Mississippi,3351,Restaurants - Casual Dining
214,549,1721,AAA,2404,118.0,Autos,Auto Parts & Services,Maryland,8519,Autos - Auto Parts & Services
215,1114,1840,Papa John's,2404,27.92,Restaurants,QSR,California,16994,Restaurants - QSR
216,106,1884,Taco Bell,2404,11.52,Restaurants,QSR,Washington,1473,Restaurants - QSR
217,220,1733,AutoZone,2404,12.29,Autos,Auto Parts & Services,Mississippi,3347,Autos - Auto Parts & Services
218,197,1839,Panera Bread,2404,8.58,Restaurants,Fast Casual,New Jersey,2951,Restaurants - Fast Casual
219,608,1727,Applebee's,2404,24.48,Restaurants,Casual Dining,California,9523,Restaurants - Casual Dining
220,1116,1755,Cook Out,2404,6.36,Restaurants,QSR,Georgia,17024,Restaurants - QSR
221,427,1899,Valvoline Instant Oil Change,2404,85.3,Autos,Auto Parts & Services,Ohio,6585,Autos - Auto Parts & Services
222,1114,1838,Panda Express,2404,20.74,Restaurants,Fast Casual,California,16992,Restaurants - Fast Casual
223,308,1825,Market Street,2404,24.98,Grocers,Supermarkets,Texas,4762,Grocers - Supermarkets
224,665,1907,Whole Foods Market,2404,25.92,Grocers,Supermarkets,Pennsylvania,10516,Grocers - Supermarkets
225,1155,1879,Sonic Drive-In,2404,20.45,Restaurants,QSR,Ohio,17590,Restaurants - QSR
226,1704,1724,Albertsons,2404,15.0,Grocers,Supermarkets,Washington,24728,Grocers - Supermarkets
227,160,1903,Waffle House,2404,13.81,Restaurants,Casual Dining,Kentucky,2475,Restaurants - Casual Dining
228,490,1729,Au Bon Pain,2404,2.19,Restaurants,QSR,Virginia,7511,Restaurants - QSR
229,1363,1907,Whole Foods Market,2404,7.0,Grocers,Supermarkets,North Carolina,20511,Grocers - Supermarkets
230,670,1733,AutoZone,2404,17.15,Autos,Auto Parts & Services,Ohio,10579,Autos - Auto Parts & Services
231,731,1746,Cava Grill,2404,26.39,Restaurants,Fast Casual,Virginia,11410,Restaurants - Fast Casual
232,1361,1839,Panera Bread,2404,12.28,Restaurants,Fast Casual,Ohio,20477,Restaurants - Fast Casual
233,519,1884,Taco Bell,2404,3.79,Restaurants,QSR,West Virginia,8187,Restaurants - QSR
234,552,1883,TGI Fridays,2404,55.06,Restaurants,Casual Dining,Texas,8592,Restaurants - Casual Dining
235,990,1836,Olive Garden,2404,5.49,Restaurants,Casual Dining,Texas,15121,Restaurants - Casual Dining
236,262,1731,Auntie Anne's,2404,17.22,Restaurants,QSR,Florida,4047,Restaurants - QSR
237,1539,1889,Tijuana Flats,2404,19.64,Restaurants,Casual Dining,Florida,22669,Restaurants - Casual Dining
238,521,1879,Sonic Drive-In,2404,26.17,Restaurants,QSR,Oregon,8232,Restaurants - QSR
239,202,1846,Pizza Hut,2404,15.07,Restaurants,QSR,Arizona,3075,Restaurants - QSR
240,385,1749,Chili's,2404,27.05,Restaurants,Casual Dining,Texas,5825,Restaurants - Casual Dining
241,485,1749,Chili's,2404,71.16,Restaurants,Casual Dining,California,7407,Restaurants - Casual Dining
242,499,1886,Texas Roadhouse,2404,48.67,Restaurants,Casual Dining,Indiana,7777,Restaurants - Casual Dining
243,238,1886,Texas Roadhouse,2404,50.83,Restaurants,Casual Dining,Wyoming,3570,Restaurants - Casual Dining
244,97,1884,Taco Bell,2404,5.09,Restaurants,QSR,Florida,1344,Restaurants - QSR
245,1039,1839,Panera Bread,2404,33.72,Restaurants,Fast Casual,Maryland,15942,Restaurants - Fast Casual
246,1331,1884,Taco Bell,2404,10.68,Restaurants,QSR,Florida,19953,Restaurants - QSR
247,282,1749,Chili's,2404,44.5,Restaurants,Casual Dining,Indiana,4408,Restaurants - Casual Dining
248,990,1912,Zips Car Wash,2404,21.95,Autos,Auto Parts & Services,Texas,15147,Autos - Auto Parts & Services
249,652,1908,Woodman's Market,2404,7.12,Grocers,Supermarkets,Arizona,10274,Grocers - Supermarkets
250,246,1787,Fry's,2404,25.49,Grocers,Supermarkets,Georgia,3741,Grocers - Supermarkets
251,1437,1727,Applebee's,2404,4.75,Restaurants,Casual Dining,South Carolina,21420,Restaurants - Casual Dining
252,245,1760,Dairy Queen,2404,4.23,Restaurants,QSR,Kentucky,3728,Restaurants - QSR
253,1424,1727,Applebee's,2404,38.8,Restaurants,Casual Dining,Washington,21279,Restaurants - Casual Dining
254,700,1884,Taco Bell,2404,2.12,Restaurants,QSR,Pennsylvania,11004,Restaurants - QSR
255,871,1777,Food 4 Less,2404,6.38,Grocers,Discount Grocers,Texas,13240,Grocers - Discount Grocers
256,1442,1872,ShopRite,2404,10.35,Grocers,Supermarkets,Pennsylvania,21451,Grocers - Supermarkets
257,1350,1733,AutoZone,2404,116.27,Autos,Auto Parts & Services,Texas,20241,Autos - Auto Parts & Services
258,1565,1721,AAA,2404,112.0,Autos,Auto Parts & Services,Missouri,23000,Autos - Auto Parts & Services
259,1419,1886,Texas Roadhouse,2404,69.13,Restaurants,Casual Dining,Virginia,21197,Restaurants - Casual Dining
