,u,i,ts,label,idx
274,317,8,1468281600.0,48.0,3631
275,122,3,1468368000.0,76.31,1208
276,293,3,1468368000.0,84.42,3342
277,317,8,1468454400.0,20.0,3632
278,24,10,1468540800.0,656.88,321
279,380,7,1468540800.0,27.25,4243
280,19,7,1468540800.0,25.92,246
281,216,2,1468540800.0,3.02,2216
282,225,3,1468627200.0,100.86,2296
283,223,7,1468627200.0,27.0,2286
284,265,3,1468713600.0,106.95,2937
285,187,2,1468713600.0,8.81,1899
286,31,5,1468800000.0,5.12,376
287,289,2,1468972800.0,3.56,3242
288,41,8,1469059200.0,300.0,501
289,419,2,1469145600.0,16.57,4629
290,317,8,1469145600.0,76.0,3633
291,301,3,1469232000.0,87.44,3454
292,289,2,1469232000.0,10.8,3243
293,264,5,1469232000.0,11.39,2855
294,242,10,1469232000.0,750.62,2483
295,42,3,1469232000.0,153.86,510
296,248,7,1469318400.0,151.58,2540
297,401,3,1469318400.0,164.52,4396
298,438,7,1469404800.0,4.24,5028
299,289,2,1469577600.0,10.8,3244
300,440,7,1469577600.0,97.37,5041
301,92,3,1469664000.0,0.03,948
302,265,2,1469664000.0,3.75,2866
303,289,2,1469664000.0,15.87,3245
304,461,5,1469923200.0,5.29,5221
305,289,2,1470009600.0,4.64,3246
306,274,1,1470096000.0,28.0,3011
307,289,7,1470096000.0,26.5,3270
308,431,3,1470182400.0,100.96,4889
309,458,3,1470268800.0,217.85,5178
310,430,1,1470441600.0,97.0,4862
311,265,2,1470441600.0,13.44,2867
312,110,7,1470614400.0,91.8,1092
313,289,2,1470700800.0,32.29,3247
314,356,10,1470787200.0,442.0,4164
315,122,3,1470960000.0,76.34,1209
316,146,5,1471046400.0,10.0,1515
317,289,2,1471132800.0,14.58,3248
318,118,1,1471219200.0,195.0,1182
319,289,2,1471219200.0,10.8,3249
320,379,7,1471219200.0,53.5,4241
321,390,7,1471219200.0,53.81,4331
322,293,3,1471219200.0,99.64,3343
323,289,2,1471305600.0,10.8,3250
324,265,3,1471392000.0,106.95,2938
325,289,2,1471478400.0,10.8,3251
326,48,7,1471478400.0,67.51,588
327,365,7,1471478400.0,47.03,4196
328,136,7,1471564800.0,56.62,1359
329,419,2,1471564800.0,17.0,4630
330,289,2,1471564800.0,7.12,3252
331,225,3,1471651200.0,100.9,2297
332,289,2,1471737600.0,13.93,3253
333,265,2,1471910400.0,16.74,2868
334,301,3,1471996800.0,29.0,3455
335,42,3,1471996800.0,146.87,511
336,289,2,1472083200.0,10.8,3254
337,385,5,1472083200.0,22.72,4252
338,425,1,1472256000.0,654.0,4818
339,165,4,1472256000.0,220.48,1754
340,440,5,1472256000.0,0.5,5033
341,319,7,1472342400.0,42.8,3666
342,440,5,1472342400.0,20.0,5034
343,289,2,1472428800.0,10.8,3255
344,440,5,1472428800.0,10.0,5035
345,500,7,1472515200.0,51.96,5536
346,289,2,1472515200.0,14.58,3256
347,265,2,1472688000.0,15.0,2869
348,301,3,1472688000.0,87.42,3456
349,216,1,1472688000.0,643.0,2199
350,317,7,1472774400.0,15.93,3619
351,111,7,1472860800.0,21.35,1116
352,431,3,1472860800.0,100.96,4890
353,289,2,1472860800.0,7.12,3257
354,390,5,1472860800.0,20.0,4316
355,136,10,1472947200.0,108.95,1366
356,275,1,1473033600.0,171.0,3018
357,341,7,1473033600.0,14.49,3882
358,265,2,1473120000.0,6.64,2870
359,401,3,1473120000.0,157.13,4397
360,458,3,1473120000.0,267.98,5179
361,407,10,1473292800.0,69.74,4516
362,91,7,1473379200.0,132.5,935
363,289,2,1473465600.0,-10.8,3258
364,225,3,1473465600.0,108.36,2298
365,289,2,1473552000.0,10.8,3259
366,122,3,1473552000.0,76.34,1210
367,275,1,1473638400.0,89.0,3019
368,110,7,1473724800.0,77.22,1093
369,419,2,1473724800.0,11.22,4631
370,48,7,1473724800.0,22.86,589
371,293,3,1473724800.0,92.42,3344
372,317,8,1473724800.0,20.0,3634
373,104,1,1473811200.0,477.0,1050
374,483,7,1473897600.0,41.83,5406
375,242,10,1473984000.0,50.32,2484
376,216,1,1473984000.0,705.0,2200
377,106,7,1474070400.0,43.9,1074
378,265,3,1474070400.0,106.95,2939
379,261,7,1474156800.0,69.46,2718
380,377,1,1474156800.0,74.0,4227
381,341,7,1474243200.0,39.96,3883
382,301,3,1474502400.0,92.74,3457
383,289,2,1474502400.0,7.12,3260
384,497,4,1474588800.0,103.88,5526
385,419,2,1474675200.0,6.43,4632
386,317,8,1474761600.0,34.0,3635
387,42,3,1474761600.0,146.87,512
388,348,3,1474848000.0,34.23,4013
389,255,1,1474934400.0,336.0,2587
390,216,1,1474934400.0,263.0,2201
391,255,1,1475020800.0,-175.0,2588
392,452,4,1475020800.0,107.21,5139
393,104,1,1475107200.0,224.0,1051
394,7,1,1475193600.0,239.0,71
395,419,2,1475193600.0,8.76,4633
396,401,3,1475280000.0,157.13,4398
397,495,7,1475366400.0,35.48,5505
398,431,8,1475366400.0,20.0,4939
399,255,1,1475366400.0,370.0,2589
400,3,1,1475452800.0,295.0,8
401,405,2,1475452800.0,8.25,4473
402,431,3,1475539200.0,100.96,4891
403,458,3,1475625600.0,308.18,5180
404,48,7,1475798400.0,55.53,590
405,500,7,1475971200.0,114.75,5537
406,261,7,1475971200.0,60.64,2719
407,390,7,1475971200.0,59.08,4332
408,431,8,1475971200.0,131.59,4940
409,495,7,1475971200.0,106.63,5506
410,219,5,1476057600.0,50.0,2235
411,188,3,1476144000.0,17.99,1921
412,260,1,1476230400.0,747.0,2637
413,500,7,1476230400.0,-88.77,5538
414,122,3,1476316800.0,84.82,1211
415,293,3,1476316800.0,92.42,3345
416,344,1,1476316800.0,191.0,3922
417,348,3,1476316800.0,34.23,4014
418,42,3,1476576000.0,153.86,513
419,188,3,1476576000.0,17.99,1922
420,192,7,1476662400.0,32.1,1933
421,265,3,1476662400.0,98.44,2940
422,396,7,1476748800.0,12.72,4364
423,300,7,1476921600.0,66.8,3430
424,390,7,1476921600.0,21.1,4333
425,289,2,1476921600.0,9.28,3261
426,225,3,1477008000.0,100.9,2299
427,301,3,1477180800.0,87.42,3458
428,348,3,1477180800.0,34.23,4015
429,419,2,1477267200.0,14.39,4634
430,275,4,1477267200.0,5.5,3025
431,107,10,1477353600.0,47.44,1079
432,211,7,1477353600.0,16.33,2145
433,127,10,1477440000.0,54.99,1287
434,289,2,1477440000.0,16.75,3262
435,440,7,1477526400.0,170.13,5042
436,476,7,1477526400.0,10.0,5365
437,217,1,1477612800.0,301.0,2218
438,261,7,1477699200.0,68.36,2720
439,431,8,1477699200.0,20.0,4941
440,217,1,1477699200.0,-301.0,2219
441,48,7,1477785600.0,21.78,591
442,351,5,1477785600.0,8.55,4051
443,107,7,1477872000.0,184.88,1077
444,351,7,1477872000.0,128.79,4086
445,256,7,1477958400.0,82.68,2595
446,107,10,1477958400.0,23.32,1080
447,217,1,1478044800.0,392.0,2220
448,127,10,1478044800.0,-25.0,1288
449,431,3,1478131200.0,100.96,4892
450,458,3,1478217600.0,242.51,5181
451,263,7,1478217600.0,96.46,2840
452,110,7,1478217600.0,81.0,1094
453,304,7,1478217600.0,119.03,3509
454,56,7,1478217600.0,12.76,713
455,196,8,1478217600.0,150.0,1945
456,175,7,1478304000.0,10.6,1793
457,364,7,1478390400.0,254.34,4189
458,341,7,1478390400.0,393.13,3884
459,390,7,1478736000.0,30.0,4334
460,333,3,1478822400.0,11.4,3801
461,419,2,1478822400.0,15.25,4635
462,261,7,1478822400.0,26.46,2721
463,122,3,1478822400.0,84.82,1212
464,390,7,1478995200.0,21.1,4335
465,341,7,1478995200.0,323.14,3885
466,307,1,1479081600.0,164.0,3524
467,26,7,1479081600.0,224.72,347
468,319,7,1479081600.0,14.98,3667
469,293,3,1479168000.0,92.42,3346
470,265,3,1479340800.0,68.06,2941
471,48,7,1479427200.0,71.42,592
472,110,7,1479427200.0,345.59,1095
473,390,7,1479513600.0,18.48,4336
474,398,5,1479686400.0,43.29,4379
475,301,3,1479772800.0,87.42,3459
476,91,7,1479772800.0,32.1,936
477,6,3,1479859200.0,142.73,66
478,431,8,1479859200.0,20.0,4942
479,419,2,1479859200.0,4.82,4636
480,48,7,1479945600.0,69.68,593
481,25,7,1479945600.0,81.7,333
482,401,3,1479945600.0,164.42,4399
483,291,4,1480118400.0,143.23,3326
484,464,4,1480118400.0,127.74,5265
485,141,4,1480118400.0,314.24,1396
486,216,1,1480204800.0,-235.0,2202
487,365,7,1480291200.0,120.91,4197
488,26,7,1480291200.0,31.05,348
489,431,8,1480377600.0,-20.0,4943
490,42,3,1480377600.0,146.87,514
491,225,3,1480550400.0,100.9,2300
492,91,7,1480636800.0,72.08,937
493,159,2,1480636800.0,4.4,1652
494,21,3,1480723200.0,189.35,256
495,265,2,1480809600.0,4.28,2871
496,452,4,1480809600.0,192.99,5140
497,159,7,1480809600.0,38.97,1667
498,431,3,1480809600.0,100.96,4893
499,458,3,1480896000.0,264.56,5182
500,141,7,1480896000.0,188.32,1397
501,341,7,1480982400.0,60.32,3886
502,91,7,1481068800.0,34.06,938
503,265,2,1481155200.0,5.32,2872
504,317,8,1481155200.0,20.0,3636
505,275,1,1481155200.0,65.0,3020
506,175,7,1481328000.0,86.0,1794
507,431,8,1481414400.0,134.51,4944
508,122,3,1481414400.0,84.82,1213
509,351,5,1481414400.0,0.5,4052
510,351,5,1481500800.0,1.99,4053
511,175,7,1481500800.0,10.6,1795
512,344,9,1481587200.0,95.0,3960
513,452,4,1481587200.0,42.67,5141
514,41,8,1481673600.0,150.0,502
515,293,3,1481673600.0,92.42,3347
516,468,7,1481673600.0,52.84,5295
517,419,2,1481760000.0,47.5,4637
518,242,10,1481760000.0,99.96,2485
519,217,7,1481846400.0,47.54,2223
520,265,3,1481846400.0,68.06,2942
521,225,3,1481932800.0,108.36,2301
522,221,4,1481932800.0,88.0,2260
523,317,8,1481932800.0,54.0,3637
524,165,4,1481932800.0,31.8,1755
525,325,7,1481932800.0,28.5,3693
526,455,7,1482019200.0,39.17,5144
527,141,7,1482019200.0,175.48,1398
528,456,7,1482105600.0,21.2,5161
529,495,7,1482192000.0,122.99,5507
530,132,7,1482192000.0,35.33,1341
531,483,7,1482192000.0,41.83,5407
532,92,3,1482192000.0,88.75,949
533,419,4,1482278400.0,88.0,4704
534,483,10,1482278400.0,163.98,5420
535,301,3,1482364800.0,167.58,3460
536,444,7,1482364800.0,22.76,5102
537,289,7,1482537600.0,111.3,3271
538,351,5,1482537600.0,3.99,4054
539,19,7,1482624000.0,77.76,247
540,6,3,1482710400.0,143.81,67
541,56,7,1482969600.0,48.38,714
542,364,7,1482969600.0,146.88,4190
543,242,10,1482969600.0,53.94,2486
544,401,3,1483056000.0,171.89,4400
545,456,7,1483056000.0,45.58,5162
546,458,3,1483142400.0,252.95,5183
547,351,5,1483142400.0,8.55,4055
548,431,3,1483315200.0,100.96,4894
549,211,7,1483315200.0,56.62,2146
550,242,10,1483315200.0,14.99,2487
551,141,7,1483401600.0,-1.07,1399
552,92,3,1483401600.0,49.99,950
553,440,7,1483401600.0,28.12,5043
554,242,10,1483488000.0,277.82,2488
555,428,5,1483488000.0,50.0,4847
556,317,7,1483488000.0,28.89,3620
557,261,7,1483488000.0,27.95,2722
558,364,7,1483488000.0,105.84,4191
559,42,3,1483574400.0,146.87,515
560,216,1,1483660800.0,117.0,2203
561,266,5,1483833600.0,41.75,2983
562,265,2,1483833600.0,4.27,2873
563,122,3,1484092800.0,84.82,1214
564,364,7,1484092800.0,-146.88,4192
565,419,2,1484179200.0,6.49,4638
566,333,3,1484265600.0,115.8,3802
567,430,1,1484352000.0,336.0,4863
568,431,3,1484438400.0,32.01,4895
569,265,3,1484524800.0,68.06,2943
570,6,3,1484524800.0,143.81,68
571,364,7,1484524800.0,77.22,4193
572,304,4,1484611200.0,16.93,3506
573,293,3,1484611200.0,92.42,3348
574,440,7,1484697600.0,16.73,5044
575,225,3,1484697600.0,100.9,2302
576,110,8,1484870400.0,20.0,1103
577,42,3,1484956800.0,168.85,516
578,419,2,1484956800.0,21.31,4639
579,301,3,1484956800.0,96.04,3461
580,419,4,1485216000.0,50.0,4705
581,419,2,1485216000.0,8.87,4640
582,300,2,1485302400.0,19.93,3428
583,401,3,1485475200.0,157.03,4401
584,364,7,1485561600.0,58.86,4194
585,110,8,1485561600.0,31.84,1104
586,48,7,1485907200.0,62.06,594
587,431,3,1485993600.0,108.71,4896
588,58,10,1486080000.0,560.99,720
589,263,7,1486080000.0,60.95,2841
590,458,3,1486080000.0,242.36,5184
591,141,7,1486339200.0,86.57,1400
592,275,1,1486512000.0,40.0,3021
593,431,8,1486598400.0,224.18,4945
594,261,7,1486598400.0,93.5,2723
595,58,10,1486684800.0,634.95,721
596,471,5,1486771200.0,10.0,5329
597,333,3,1486857600.0,116.75,3803
598,24,10,1486944000.0,1200.98,322
599,122,3,1486944000.0,84.82,1215
600,7,7,1486944000.0,22.24,81
601,293,3,1487030400.0,97.67,3349
602,419,2,1487116800.0,17.34,4641
603,196,8,1487116800.0,146.64,1946
604,121,5,1487116800.0,6.51,1191
605,265,3,1487203200.0,73.4,2944
606,351,7,1487376000.0,46.59,4087
607,304,7,1487462400.0,33.33,3510
608,225,3,1487462400.0,106.23,2303
609,251,5,1487721600.0,5.29,2549
610,401,3,1487721600.0,162.36,4402
611,345,5,1487808000.0,10.81,3962
612,456,7,1487808000.0,24.38,5163
613,91,7,1487808000.0,402.84,939
614,301,3,1487808000.0,29.0,3462
615,146,5,1488067200.0,10.0,1516
616,129,4,1488067200.0,250.0,1301
617,325,7,1488153600.0,57.37,3694
618,146,5,1488153600.0,20.0,1517
619,6,3,1488153600.0,136.23,69
620,42,3,1488153600.0,147.87,517
621,228,10,1488240000.0,225.98,2361
622,301,3,1488326400.0,96.36,3463
623,365,10,1488326400.0,151.6,4201
624,333,3,1488326400.0,117.0,3804
625,390,7,1488499200.0,-10.55,4337
626,129,1,1488585600.0,1055.0,1294
627,351,8,1488585600.0,20.0,4096
628,458,3,1488672000.0,309.03,5185
629,431,3,1488672000.0,90.86,4897
630,211,1,1488758400.0,67.0,2126
631,261,4,1488758400.0,155.1,2709
632,129,1,1488758400.0,-98.0,1295
633,365,10,1488844800.0,33.98,4202
634,278,5,1488931200.0,54.11,3031
635,48,7,1489104000.0,60.98,595
636,261,7,1489190400.0,63.28,2724
637,211,7,1489276800.0,43.55,2147
638,351,8,1489276800.0,86.8,4097
639,332,3,1489363200.0,50.0,3786
640,211,7,1489363200.0,-30.49,2148
641,438,7,1489363200.0,26.5,5029
642,122,3,1489449600.0,84.82,1216
643,293,3,1489449600.0,97.67,3350
644,261,7,1489536000.0,72.77,2725
645,265,3,1489622400.0,73.4,2945
646,424,2,1489708800.0,18.36,4792
647,431,8,1489708800.0,20.0,4946
648,303,7,1489708800.0,63.28,3504
649,343,1,1489795200.0,112.0,3898
650,7,7,1489881600.0,62.69,82
651,343,1,1489881600.0,248.0,3899
652,261,7,1489881600.0,-6.69,2726
653,261,7,1489968000.0,-1.87,2727
654,6,3,1489968000.0,149.1,70
655,242,10,1490054400.0,165.35,2489
656,261,4,1490054400.0,-29.7,2710
657,225,3,1490054400.0,106.23,2304
658,401,3,1490227200.0,167.69,4403
659,301,3,1490227200.0,29.0,3464
660,42,3,1490486400.0,147.87,518
661,229,4,1490486400.0,41.04,2362
662,424,2,1490486400.0,6.13,4793
663,264,5,1490486400.0,0.5,2856
664,332,3,1490572800.0,49.33,3787
665,159,7,1490572800.0,12.82,1668
666,62,3,1490659200.0,54.62,741
667,431,8,1490745600.0,142.27,4947
668,344,4,1490745600.0,6.33,3948
669,104,1,1490832000.0,240.0,1052
670,62,3,1490918400.0,-54.62,742
671,424,2,1490918400.0,7.28,4794
672,301,3,1490918400.0,107.09,3465
673,298,1,1491004800.0,56.0,3418
674,424,2,1491004800.0,6.31,4795
675,431,3,1491091200.0,90.86,4898
676,458,3,1491091200.0,269.86,5186
677,304,7,1491177600.0,57.51,3511
678,419,2,1491177600.0,8.83,4642
679,396,10,1491264000.0,200.0,4365
680,31,5,1491436800.0,50.0,377
681,12,3,1491436800.0,24.4,187
682,419,2,1491523200.0,10.8,4643
683,424,2,1491523200.0,14.91,4796
684,333,3,1491696000.0,170.5,3805
685,333,3,1491782400.0,116.5,3806
686,122,3,1491868800.0,84.82,1217
687,293,3,1491955200.0,97.67,3351
688,333,3,1492041600.0,51.81,3807
689,396,10,1492041600.0,200.0,4366
690,25,7,1492214400.0,117.98,334
691,275,1,1492214400.0,842.0,3022
692,265,3,1492300800.0,73.4,2946
693,483,1,1492300800.0,1315.0,5397
694,419,7,1492387200.0,8.05,4734
695,225,3,1492646400.0,113.69,2305
696,490,1,1492732800.0,226.0,5447
697,10,1,1492819200.0,523.0,169
698,274,1,1492905600.0,42.0,3012
699,42,3,1492905600.0,147.87,519
